sintoma,texto,deficiencia de nutrientes,disponible en ingredientes,source
fatiga,estoy constantemente cansado y sin energia,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",original
fatiga,estoy constantemente fatigado y muy bajo de energia,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,por las mananas estoy constantemente cansado y con energia baja,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,de vez en cuando estoy constantemente sin energia y con energia baja,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,me siento agotado todo el dia,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",original
fatiga,me siento fatigado todo el dia,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,desde hace semanas me siento sin energia todo el dia y va a peor,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,ultimamente me noto cansado todo el dia y va a peor,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
fatiga,me falta fuerza incluso con tareas simples,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",original
fatiga,estos dias me falta fuerza incluso con tareas simples,hierro; vitamina b12; folato; vitamina d; magnesio,"carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, leche, yogur, queso, lechuga/endivia, aguacate, brocoli, coliflor, tomate, limon, champinones, platano, patata",parafraseado
