epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.703,1.51612,3.72599,1.29439,0.49368,0.41775,0.41711,0.24932,1.39759,2.12964,1.21749,9.7869e-05,9.7869e-05,9.7869e-05
2,368.075,1.37664,2.12118,1.21718,0.67034,0.56703,0.62519,0.38675,1.30281,1.59283,1.18467,0.000176478,0.000176478,0.000176478
3,517.744,1.29398,1.691,1.1825,0.69293,0.64918,0.70618,0.4449,1.26533,1.46234,1.16774,0.000235683,0.000235683,0.000235683
4,664.438,1.23811,1.47245,1.15716,0.79683,0.69019,0.77339,0.5105,1.20214,1.26919,1.14254,0.000206682,0.000206682,0.000206682
5,812.461,1.19332,1.31754,1.13434,0.83666,0.7292,0.81938,0.55656,1.16185,1.15045,1.12764,0.000177576,0.000177576,0.000177576
6,959.844,1.14028,1.18845,1.11045,0.85494,0.74276,0.83622,0.5832,1.12436,1.09737,1.10461,0.00014847,0.00014847,0.00014847
7,1108.23,1.10608,1.10747,1.09124,0.87393,0.77183,0.85749,0.6125,1.09183,1.04336,1.08775,0.000119364,0.000119364,0.000119364
8,1256.02,1.06992,1.03597,1.07557,0.88692,0.79043,0.87271,0.62892,1.066,0.97833,1.07585,9.0258e-05,9.0258e-05,9.0258e-05
9,1407.99,1.03883,0.98166,1.06176,0.8921,0.80834,0.8837,0.64982,1.02866,0.93703,1.06228,6.1152e-05,6.1152e-05,6.1152e-05
10,1559.16,1.0159,0.94358,1.0498,0.90696,0.80921,0.88892,0.6516,1.03945,0.91773,1.05777,3.2046e-05,3.2046e-05,3.2046e-05
