epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.367,1.50346,3.68901,1.39636,0.44084,0.41844,0.39342,0.22944,1.39809,2.16261,1.48212,0.00332888,0.00332888,0.00332888
2,427.26,1.4286,2.23747,1.41237,0.65243,0.54545,0.59519,0.35825,1.35088,1.76325,1.43833,0.00659625,0.00659625,0.00659625
3,620.416,1.4177,1.97345,1.40398,0.65078,0.53806,0.58451,0.35436,1.39554,1.91125,1.48017,0.00979763,0.00979763,0.00979763
4,807.565,1.40221,1.84017,1.408,0.71049,0.61256,0.67957,0.41734,1.34661,1.62963,1.49138,0.009703,0.009703,0.009703
5,995.997,1.35634,1.6661,1.38529,0.76167,0.62632,0.71438,0.45222,1.30512,1.49996,1.42231,0.009604,0.009604,0.009604
6,1183.94,1.31313,1.49873,1.36058,0.80869,0.69498,0.78145,0.50531,1.27465,1.4065,1.4035,0.009505,0.009505,0.009505
7,1371.7,1.27699,1.38364,1.33078,0.8077,0.69404,0.7908,0.52171,1.24828,1.33498,1.37125,0.009406,0.009406,0.009406
8,1559.53,1.25101,1.30703,1.31632,0.84267,0.7301,0.81694,0.54919,1.22399,1.211,1.35498,0.009307,0.009307,0.009307
9,1746.38,1.22339,1.23596,1.30228,0.85832,0.74821,0.8378,0.58773,1.15394,1.14488,1.3163,0.009208,0.009208,0.009208
10,1934.43,1.20246,1.18527,1.28862,0.88753,0.76237,0.85434,0.60984,1.12573,1.09607,1.29015,0.009109,0.009109,0.009109
11,2121.67,1.186,1.14883,1.27772,0.898,0.77773,0.86532,0.62122,1.12445,1.064,1.28572,0.00901,0.00901,0.00901
12,2309.27,1.1681,1.10341,1.26654,0.89847,0.77656,0.86457,0.62718,1.09794,1.02986,1.26553,0.008911,0.008911,0.008911
13,2496.84,1.15018,1.06391,1.25525,0.90087,0.78582,0.8714,0.63213,1.1023,1.01031,1.25979,0.008812,0.008812,0.008812
14,2684.14,1.13626,1.04891,1.24517,0.90969,0.78928,0.87942,0.64227,1.0798,0.97017,1.25438,0.008713,0.008713,0.008713
15,2871.35,1.12162,1.01785,1.24017,0.90244,0.7994,0.88274,0.6524,1.06049,0.94633,1.24299,0.008614,0.008614,0.008614
16,3058.45,1.11263,1.00412,1.23363,0.92391,0.80477,0.88977,0.66403,1.04306,0.91533,1.22106,0.008515,0.008515,0.008515
17,3245.63,1.108,0.98865,1.22782,0.90977,0.80796,0.89145,0.66363,1.04421,0.91398,1.234,0.008416,0.008416,0.008416
18,3432.84,1.09204,0.97029,1.21971,0.9215,0.81875,0.89958,0.68191,1.01243,0.8744,1.21514,0.008317,0.008317,0.008317
19,3627.76,1.07956,0.9402,1.21366,0.93267,0.81549,0.90022,0.67969,1.01756,0.86141,1.21557,0.008218,0.008218,0.008218
20,3814.8,1.074,0.92638,1.20863,0.92436,0.82075,0.90286,0.68316,1.01566,0.85117,1.20336,0.008119,0.008119,0.008119
21,4002.92,1.06819,0.92068,1.20426,0.93622,0.82463,0.90754,0.69411,0.98733,0.82508,1.20788,0.00802,0.00802,0.00802
22,4201.61,1.06129,0.90701,1.19854,0.92774,0.8367,0.9096,0.70083,0.97335,0.81117,1.18909,0.007921,0.007921,0.007921
23,4395.67,1.04933,0.89082,1.19399,0.93042,0.84153,0.9149,0.70381,0.98573,0.80134,1.19069,0.007822,0.007822,0.007822
